case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,sub_competency_ids,missing_controls,competency_gaps,llm_gap_description,llm_sub_competencies,failure_mode,trust_integration_split
AML.CS0021,ChatGPT Conversation Exfiltration,2023-05-01,exercise,Embrace The Red,OpenAI ChatGPT,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that ChatGPT users' conversations can be exfiltrated via an indirect prompt injection. To execute the attack, a threat actor uploads a malicious prompt to a public website, where a ChatGPT user may interact with it. The prompt causes ChatGPT to respond with the markdown for an image, whose URL has the user's conversation secretly embe",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0010; AML.TA0011; AML.TA0012,AML.T0048.003; AML.T0051.001; AML.T0053; AML.T0065; AML.T0077; AML.T0078; AML.T0079,7,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-4; TR-6,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"Weak generative AI guardrails and insufficient telemetry and permission controls led to exfiltration of ChatGPT conversations, highlighting gaps in cybersecurity controls and ML lifecycle integration.",TR-3; TR-6; IR-7,prevention_failure,both
AML.CS0022,ChatGPT Package Hallucination,2024-06-01,exercise,"Vulcan Cyber, Lasso Security",ChatGPT users,Researchers identified that large language models such as ChatGPT can hallucinate fake software package names that are not published to a package repository. An attacker could publish a malicious package under the hallucinated name to a package repository. Then users of the same or similar large language models may encounter the same hallucination and ultimately download and execute the malicious ,AML.TA0000; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0008; AML.TA0011,AML.T0010.001; AML.T0011.001; AML.T0040; AML.T0048.003; AML.T0060; AML.T0062,6,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance,IR-1; IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0004: Restrict Number of AI Model Queries; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,Failure to restrict AI model queries and enforce generative AI guardrails combined with weak ML lifecycle controls allowed hallucination of fake software packages.,TR-1; TR-6; IR-3,prevention_failure,both
AML.CS0023,ShadowRay,2023-09-05,incident,Ray,Multiple systems,"Ray is an open-source Python framework for scaling production AI workflows. Ray's Job API allows for arbitrary remote execution by design. However, it does not offer authentication, and the default configuration may expose the cluster to the internet. Researchers at Oligo discovered that Ray clusters have been actively exploited for at least seven months. Adversaries can use victim organization's ",AML.TA0002; AML.TA0004; AML.TA0009; AML.TA0010; AML.TA0011; AML.TA0013,AML.T0006; AML.T0010.003; AML.T0025; AML.T0035; AML.T0048.000; AML.T0049; AML.T0055,7,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; TR-2; TR-4; TR-6,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model; AML.M0013: Code Signing; AML.M0017: AI Model Distribution Methods; AML.M0001: Limit Model Artifact Release,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"The Ray framework lacked authentication and access controls, reflecting gaps in supply chain risk management and ML lifecycle controls to prevent unauthorized remote code execution.",TR-8; TR-1; IR-6,prevention_failure,both
AML.CS0024,Morris II Worm: RAG-Based Attack,2024-03-05,exercise,"Stav Cohen, Ron Bitton, Ben Nassi",RAG-based e-mail assistant,"Researchers developed Morris II, a zero-click worm designed to attack generative AI (GenAI) ecosystems and propagate between connected GenAI systems. The worm uses an adversarial self-replicating prompt which uses prompt injection to replicate the prompt as output and perform malicious activity. The researchers demonstrate how this worm can propagate through an email system with a RAG-based assist",AML.TA0000; AML.TA0005; AML.TA0006; AML.TA0010; AML.TA0011,AML.T0040; AML.T0048.003; AML.T0051.000; AML.T0051.002; AML.T0053; AML.T0057; AML.T0061,7,Integration Readiness — Execution Controls & Sandboxing; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring,IR-1; TR-1; TR-3; TR-4; TR-6,AML.M0008: Validate AI Model; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient validation of AI models and lack of generative AI guardrails and telemetry logging led to propagation of a self-replicating worm, indicating governance and ML lifecycle control failures.",TR-1; TR-6; IR-5,prevention_failure,both
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,2024-06-06,exercise,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",10 web-scale datasets,"Many recent large-scale datasets are distributed as a list of URLs pointing to individual datapoints. The researchers show that many of these datasets are vulnerable to a ""split-view"" poisoning attack. The attack exploits the fact that the data viewed when it was initially collected may differ from the data viewed by a user during training. The researchers identify expired and buyable domains that",AML.TA0003; AML.TA0011,AML.T0002.000; AML.T0008.002; AML.T0019; AML.T0020; AML.T0031; AML.T0059,6,Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery,IR-6; TR-6,AML.M0007: Sanitize Training Data; AML.M0025: Maintain AI Dataset Provenance; AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0008: Validate AI Model; AML.M0023: AI Bill of Materials,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Lack of training data sanitization, dataset provenance, and model validation controls exposed the organization to split-view poisoning attacks, highlighting gaps in data governance and ML lifecycle integration.",TR-4; TR-1; IR-8,prevention_failure,both
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,2024-08-08,exercise,Zenity,Microsoft 365 Copilot,Researchers from Zenity conducted a red teaming exercise in August 2024 that successfully manipulated Microsoft 365 Copilot.[<sup>\[1\]</sup>][1] The attack abused the fact that Copilot ingests received emails into a retrieval augmented generation (RAG) database. The researchers sent an email that contained content designed to be retrieved by a user query as well as a prompt injection to manipulat,AML.TA0000; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0008; AML.TA0011; AML.TA0012,AML.T0047; AML.T0048.000; AML.T0051.001; AML.T0053; AML.T0064; AML.T0065; AML.T0066; AML.T0067.000; AML.T0068; AML.T0069.000; AML.T0069.001; AML.T0070; AML.T0071; AML.T0093,14,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-1; IR-2; IR-6; TR-1; TR-2; TR-3; TR-6,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"The organization lacked robust governance policies and technical controls to enforce AI guardrails and telemetry, as well as proper privileged permission configurations, reflecting gaps in both trust readiness and integration readiness for secure AI lifecycle management.",TR-1; TR-3; TR-6; TR-8; IR-2; IR-7,prevention_failure,both
AML.CS0027,Organization Confusion on Hugging Face,2023-08-23,exercise,threlfall_hax,Hugging Face users,"[threlfall_hax](https://5stars217.github.io/), a security researcher, created organization accounts on Hugging Face, a public model repository, that impersonated real organizations. These false Hugging Face organization accounts looked legitimate so individuals from the impersonated organizations requested to join, believing the accounts to be an official site for employees to share models. This g",AML.TA0000; AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0008; AML.TA0010; AML.TA0011; AML.TA0013; AML.TA0014,AML.T0007; AML.T0010.003; AML.T0011.000; AML.T0016.000; AML.T0018.000; AML.T0018.002; AML.T0021; AML.T0025; AML.T0044; AML.T0048; AML.T0048.004; AML.T0055; AML.T0058; AML.T0072; AML.T0073; AML.T0074,16,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — C2 Detection & Network Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance,IR-1; IR-2; IR-6; IR-8; TR-1; TR-2; TR-3; TR-4; TR-6,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model; AML.M0013: Code Signing; AML.M0017: AI Model Distribution Methods; AML.M0012: Encrypt Sensitive Information,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient AI governance policies and inadequate technical controls failed to prevent impersonation and unauthorized access to AI models and data repositories, indicating gaps in trust readiness and integration readiness around model validation and distribution.",TR-1; TR-4; TR-6; IR-2; IR-8,prevention_failure,both
AML.CS0028,AI Model Tampering via Supply Chain Attack,2023-09-26,exercise,Trend Micro Nebula Cloud Research Team,Private Container Registries,"Researchers at Trend Micro, Inc. used service indexing portals and web searching tools to identify over 8,000 misconfigured private container registries exposed on the internet. Approximately 70% of the registries also had overly permissive access controls that allowed write access. In their analysis, the researchers found over 1,000 unique AI models embedded in private container images within the",AML.TA0000; AML.TA0002; AML.TA0004; AML.TA0006; AML.TA0008; AML.TA0011,AML.T0004; AML.T0007; AML.T0010.004; AML.T0015; AML.T0018.000; AML.T0018.001; AML.T0044; AML.T0048.004; AML.T0049,9,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; TR-1; TR-2; TR-3; TR-6,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0017: AI Model Distribution Methods; AML.M0012: Encrypt Sensitive Information; AML.M0007: Sanitize Training Data; AML.M0008: Validate AI Model; AML.M0013: Code Signing,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Lack of strict access control, encryption, and validation policies for AI model supply chain components led to exposure and tampering, highlighting deficiencies in supply chain risk governance and integration readiness for secure model lifecycle management.",TR-1; TR-4; TR-8; IR-2; IR-8,prevention_failure,both
AML.CS0029,Google Bard Conversation Exfiltration,2023-11-23,exercise,Embrace the Red,Google Bard,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that Bard users' conversations could be exfiltrated via an indirect prompt injection. To execute the attack, a threat actor shares a Google Doc containing the prompt with the target user who then interacts with the document via Bard to inadvertently execute the prompt. The prompt causes Bard to respond with the markdown for an image, ",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0010; AML.TA0011,AML.T0008; AML.T0017; AML.T0048.003; AML.T0051.001; AML.T0065; AML.T0077; AML.T0093,7,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-4; TR-6,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"The absence of comprehensive AI telemetry logging and input/output validation allowed indirect prompt injection attacks to exfiltrate data, reflecting weaknesses in both monitoring and technical controls within trust and integration readiness.",TR-3; TR-6; IR-3; IR-8,detection_failure,both
AML.CS0030,LLM Jacking,2024-05-06,incident,Unknown,Cloud-Based LLM Services,The Sysdig Threat Research Team discovered that malicious actors utilized stolen credentials to gain access to cloud-hosted large language models (LLMs). The actors covertly gathered information about which models were enabled on the cloud service and created a reverse proxy for LLMs that would allow them to provide model access to cybercriminals.  The Sysdig researchers identified tools used by t,AML.TA0003; AML.TA0004; AML.TA0008; AML.TA0011; AML.TA0012; AML.TA0013,AML.T0012; AML.T0016.001; AML.T0048.000; AML.T0049; AML.T0055; AML.T0075,6,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery,IR-2; IR-6; TR-2; TR-4; TR-6,,,"Details on missing controls and competency gaps were not provided, but the incident suggests potential weaknesses in credential management and access controls for cloud-hosted LLMs.",,prevention_failure,trust-dominant
AML.CS0031,Malicious Models on Hugging Face,2025-02-25,incident,Unknown,Hugging Face users,"Researchers at ReversingLabs have identified malicious models containing embedded malware hosted on the Hugging Face model repository. The models were found to execute reverse shells when loaded, which grants the threat actor command and control capabilities on the victim's system. Hugging Face uses Picklescan to scan models for malicious code, however these models were not flagged as malicious. T",AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0014,AML.T0010; AML.T0011.000; AML.T0018.002; AML.T0058; AML.T0072; AML.T0076,6,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — C2 Detection & Network Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection,IR-1; IR-2; IR-6; IR-8; TR-3,AML.M0014: Verify AI Artifacts; AML.M0020: Generative AI Guardrails; AML.M0023: AI Bill of Materials; AML.M0013: Code Signing; AML.M0011: Restrict Library Loading; AML.M0016: Vulnerability Scanning,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Failure to verify AI artifacts, enforce code signing, and implement vulnerability scanning allowed malicious models with embedded malware to be distributed, indicating gaps in AI governance policies and technical lifecycle controls.",TR-1; TR-4; TR-6; IR-2; IR-8,prevention_failure,both
AML.CS0032,Attempted Evasion of ML Phishing Webpage Detection System,2022-12-01,incident,Unknown,Commercial ML Phishing Webpage Detector,"Adversaries create phishing websites that appear visually similar to legitimate sites. These sites are designed to trick users into entering their credentials, which are then sent to the bad actor. To combat this behavior, security companies utilize AI/ML-based approaches to detect phishing sites and block them in their endpoint security products.  In this incident, adversarial examples were ident",AML.TA0001; AML.TA0004; AML.TA0007; AML.TA0011,AML.T0015; AML.T0043.003; AML.T0048.003; AML.T0052,4,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery,IR-2; TR-3; TR-6,AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0009: Use Multi-Modal Sensors,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient model hardening, query restrictions, and adversarial input detection mechanisms allowed phishing webpage detection systems to be evaded, reflecting integration readiness gaps in model robustness and trust readiness gaps in governance.",TR-1; TR-6; IR-3; IR-8,prevention_failure,both
AML.CS0033,Live Deepfake Image Injection to Evade Mobile KYC Verification,2024-10-01,exercise,iProov Red Team,Mobile facial authentication service,"Facial biometric authentication services are commonly used by mobile applications for user onboarding, authentication, and identity verification for KYC requirements. The iProov Red Team demonstrated a face-swapped imagery injection attack that can successfully evade live facial recognition authentication models along with both passive and active [liveness verification](https://en.wikipedia.org/wi",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0007; AML.TA0011,AML.T0015; AML.T0016; AML.T0016.001; AML.T0016.002; AML.T0021; AML.T0047; AML.T0048.000; AML.T0073; AML.T0087; AML.T0088,10,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-3; TR-6,AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"Lack of multi-modal sensor integration, adversarial input detection, and AI telemetry logging weakened defenses against deepfake image injection attacks, showing integration readiness and cybersecurity control deficiencies.",TR-3; TR-6; IR-3; IR-6,prevention_failure,both
AML.CS0034,ProKYC: Deepfake Tool for Account Fraud Attacks,2024-10-09,incident,"ProKYC, cybercriminal group",KYC verification services,"Cato CTRL security researchers have identified ProKYC, a deepfake tool being sold to cybercriminals as a method to bypass Know Your Customer (KYC) verification on financial service applications such as cryptocurrency exchanges. ProKYC can create fake identity documents and generate deepfake selfie videos, two key pieces of biometric data used during KYC verification. The tool helps cybercriminals ",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0007; AML.TA0011,AML.T0015; AML.T0016.002; AML.T0021; AML.T0047; AML.T0048.000; AML.T0073; AML.T0087; AML.T0088,8,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-3; TR-6,AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"The absence of robust AI telemetry, model hardening, and adversarial input detection controls allowed deepfake tools to bypass KYC verification, indicating integration readiness and cybersecurity control gaps.",TR-3; TR-6; IR-3; IR-6,prevention_failure,both
AML.CS0035,Data Exfiltration from Slack AI via Indirect Prompt Injection,2024-08-20,exercise,PromptArmor,Slack AI,"[PromptArmor](https://promptarmor.substack.com) demonstrated that private data can be exfiltrated from Slack AI via indirect prompt injections. The attack relied on Slack AI ingesting a malicious prompt from a post in a public channel into its RAG database and a victim user querying Slack AI, causing the prompt to be retrieved and executed.  Example payload: <div style=""font-family: monospace; wid",AML.TA0000; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0010; AML.TA0013,AML.T0012; AML.T0047; AML.T0051.001; AML.T0065; AML.T0066; AML.T0070; AML.T0077; AML.T0082,8,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring,IR-1; IR-2; IR-6; TR-1; TR-3; TR-4,AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"Missing privileged AI agent permission configurations, insufficient telemetry logging, and lack of input/output validation enabled data exfiltration via indirect prompt injections, highlighting gaps in governance and technical controls.",TR-1; TR-3; TR-6; IR-2; IR-8,prevention_failure,both
AML.CS0036,AIKatz: Attacking LLM Desktop Applications,2025-01-01,exercise,Lumia Security,"LLM Desktop Applications (Claude, ChatGPT, Copilot)","Researchers at Lumia have demonstrated that it is possible to extract authentication tokens from the memory of LLM Desktop Applications. An attacker could then use those tokens to impersonate as the victim to the LLM backed, thereby gaining access to the victim’s conversations as well as the ability to interfere in future conversations. The attacker’s access would allow them the ability to directl",AML.TA0000; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0008; AML.TA0011; AML.TA0013; AML.TA0015,AML.T0012; AML.T0029; AML.T0047; AML.T0048.000; AML.T0048.003; AML.T0051.000; AML.T0080.000; AML.T0080.001; AML.T0089; AML.T0090; AML.T0091.000; AML.T0092,12,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Lateral Movement Prevention; Trust Readiness — Credential & Secret Management; Trust Readiness — Defense Evasion Detection; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring,IR-1; IR-2; TR-1; TR-2; TR-3; TR-4; TR-6,AML.M0004: Restrict Number of AI Model Queries; AML.M0015: Adversarial Input Detection; AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0031: Memory Hardening,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Inadequate query restrictions, adversarial input detection, access control, and telemetry logging allowed token extraction from LLM desktop applications, reflecting weaknesses in AI lifecycle controls and governance.",TR-1; TR-3; TR-6; IR-2; IR-8,prevention_failure,both
AML.CS0037,Data Exfiltration via Agent Tools in Copilot Studio,2025-06-01,exercise,Zenity,Copilot Studio Customer Service Agent,Researchers from Zenity demonstrated how an organization’s data can be exfiltrated via prompt injections that target an AI-powered customer service agent.  The target system is a customer service agent built by Zenity in Copilot Studio. It is modeled after an agent built by McKinsey to streamline its customer service needs. The AI agent listens to a customer service email inbox where customers sen,AML.TA0000; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0008; AML.TA0009; AML.TA0010,AML.T0006; AML.T0047; AML.T0051; AML.T0051.002; AML.T0065; AML.T0084.000; AML.T0084.001; AML.T0084.002; AML.T0085.000; AML.T0085.001; AML.T0086; AML.T0093,12,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-1; IR-2; IR-6; TR-1; TR-2; TR-4,AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration; AML.M0028: AI Agent Tools Permissions Configuration; AML.M0032: Segmentation of AI Agent Components; AML.M0019: Control Access to AI Models and Data in Production,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Lack of AI telemetry, improper privileged and tool permission configurations, and insufficient governance policies enabled data exfiltration through AI agent tools, indicating gaps in both trust and integration readiness.",TR-1; TR-3; TR-6; IR-2; IR-8,prevention_failure,both
AML.CS0038,Planting Instructions for Delayed Automatic AI Agent Tool Invocation,2024-02-01,exercise,Embrace the Red,Google Gemini,[Embrace the Red](https://embracethered.com/blog/) demonstrated that Google Gemini is susceptible to automated tool invocation by delaying the execution to the next conversation turn. This bypasses a security control that restricts Gemini from invoking tools that can access sensitive user information in the same conversation turn that untrusted data enters context.,AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0009; AML.TA0012,AML.T0051.001; AML.T0053; AML.T0065; AML.T0085.001; AML.T0093; AML.T0094,6,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Defense Evasion Detection,IR-1; IR-2; IR-6; TR-3; TR-4,AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration; AML.M0028: AI Agent Tools Permissions Configuration; AML.M0032: Segmentation of AI Agent Components; AML.M0020: Generative AI Guardrails,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"Failure to implement AI telemetry logging and properly configure privileged and tool permissions allowed delayed automatic AI agent tool invocation attacks, showing deficiencies in governance and technical controls.",TR-3; TR-6; IR-2; IR-8,prevention_failure,both
AML.CS0039,Living Off AI: Prompt Injection via Jira Service Management,2025-06-19,exercise,Cato CTRL,"Atlassian MCP, Jira Service Management","Researchers from Cato Networks demonstrated how adversaries can exploit AI-powered systems embedded in enterprise workflows to execute malicious actions with elevated privileges. This is achieved by crafting malicious inputs from external users such as support tickets that are later processed by internal users or automated systems using AI agents. These AI agents, operating with internal context a",AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0009; AML.TA0010; AML.TA0012,AML.T0003; AML.T0051.001; AML.T0053; AML.T0065; AML.T0085.001; AML.T0086; AML.T0093; AML.T0095,8,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-1; IR-2; IR-6; TR-2; TR-4,AML.M0000: Limit Public Release of Information; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration; AML.M0028: AI Agent Tools Permissions Configuration; AML.M0032: Segmentation of AI Agent Components,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"The organization lacked robust AI governance policies limiting privileged AI agent permissions and insufficient telemetry logging, reflecting gaps in Trust Readiness; additionally, integration controls for secure AI lifecycle management were missing.",TR-1; TR-3; TR-6; IR-1; IR-6,prevention_failure,both
